airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-673,Delhi,Afternoon,two_or_more,Night,Chennai,Business,9.92,17,73301
Vistara,UK-802,Bangalore,Evening,one,Morning,Mumbai,Business,14.84,29,80168
Indigo,6E-5217,Mumbai,Evening,one,Night,Bangalore,Economy,4.39,34,2098
Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,11.51,42,45157
Air_India,AI-772,Bangalore,Morning,one,Night,Mumbai,Business,9.07,47,56338
Air_India,AI-773,Kolkata,Evening,zero,Night,Mumbai,Business,3.52,48,30740
Air_India,AI-429,Delhi,Morning,one,Morning,Hyderabad,Economy,24.09,19,6096
Vistara,UK-866,Bangalore,Night,one,Morning,Delhi,Business,13.56,35,57702
Air_India,AI-763,Kolkata,Early_Morning,one,Afternoon,Mumbai,Economy,8.76,49,6124
Vistara,UK-850,Bangalore,Evening,one,Afternoon,Delhi,Business,16.84,19,54971
GO_FIRST,G8-146,Bangalore,Evening,two_or_more,Morning,Mumbai,Economy,16.14,20,5234
Air_India,AI-430,Chennai,Morning,one,Evening,Kolkata,Economy,9.29,22,4908
Vistara,UK-854,Bangalore,Evening,one,Morning,Delhi,Business,16.6,24,55405
Vistara,UK-822,Chennai,Morning,one,Evening,Bangalore,Economy,8.0,30,5086
Air_India,AI-539,Chennai,Evening,one,Evening,Hyderabad,Economy,24.58,6,13892
Air_India,AI-763,Kolkata,Early_Morning,one,Night,Bangalore,Economy,13.19,24,7826
Vistara,UK-706,Kolkata,Morning,one,Night,Mumbai,Business,11.53,33,61438
Air_India,AI-9741,Kolkata,Early_Morning,one,Evening,Delhi,Economy,12.64,39,4921
Air_India,AI-526,Kolkata,Evening,zero,Night,Hyderabad,Economy,2.13,45,3150
GO_FIRST,G8-510,Bangalore,Early_Morning,zero,Morning,Hyderabad,Economy,0.94,31,1803
Vistara,UK-933,Delhi,Afternoon,one,Evening,Kolkata,Business,25.41,25,66759
Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Business,12.07,6,62440
GO_FIRST,G8-7546,Mumbai,Evening,one,Morning,Hyderabad,Economy,14.41,34,3374
